"","id","name","year_official","month_first_rating","year_first_rating","month_available","year_available"
"233",241451,"Aeon's End: Legacy",2019,12,2017,12,2018
"234",269207,"The Taverns of Tiefenthal",2019,1,2019,3,2019
"235",176494,"Isle of Skye: From Chieftain to King",2015,7,2015,7,2015
"236",274637,"Unmatched: Battle of Legends, Volume One",2019,3,2019,7,2019
"237",198994,"Hero Realms",2016,6,2016,10,2016
"238",19857,"Glory to Rome",2005,11,2005,11,2007
"239",20551,"Shogun",2006,10,2006,10,2006
"240",421,"1830: Railways & Robber Barons",1986,6,2001,5,2001
"241",31481,"Galaxy Trucker",2007,9,2007,10,2007
"242",228341,"Pulsar 2849",2017,6,2017,10,2017
"243",128621,"Viticulture",2013,9,2012,4,2013
"244",27708,"1960: The Making of the President",2007,7,2007,10,2007
"245",27833,"Steam",2009,9,2007,3,2009
"246",223040,"Fantasy Realms",2017,6,2017,8,2017
"247",155068,"Arcadia Quest",2014,3,2014,10,2014
"248",3,"Samurai",1998,6,2001,5,2001
"249",140620,"Lewis & Clark: The Expedition",2013,4,2013,10,2013
"250",127060,"Bora Bora",2013,10,2012,2,2013
"251",165722,"KLASK",2014,10,2014,3,2016
"252",232405,"Western Legends",2018,10,2017,8,2018
"253",314491,"Meadow",2021,2,2021,3,2021
"254",204583,"Kingdomino",2016,8,2016,10,2016
"255",300322,"Hallertau",2020,2,2020,11,2020
"256",286096,"Tapestry",2019,8,2019,8,2019
"257",144344,"Rococo",2013,9,2013,10,2013
"258",108745,"Seasons",2012,2,2012,8,2012
"259",92828,"Dixit: Odyssey",2011,5,2011,6,2011
"260",260605,"Camel Up (Second Edition)",2018,9,2018,10,2018
"261",760,"Battle Line",2000,5,2001,5,2001
"262",24181,"Imperial",2006,10,2006,10,2006
"263",155873,"Power Grid Deluxe: Europe/North America",2014,6,2014,10,2014
"264",176734,"The Manhattan Project: Energy Empire",2016,6,2015,11,2016
"265",97207,"Dungeon Petz",2011,4,2011,10,2011
"266",206718,"Ethnos",2017,3,2017,4,2017
"267",224783,"Vindication",2018,6,2017,11,2018
"268",66589,"Navegador",2010,5,2010,10,2010
"269",2655,"Hive",2000,1,2002,5,2001
"270",246784,"Cryptid",2018,3,2018,9,2018
"271",22545,"Age of Empires III: The Age of Discovery",2007,6,2006,5,2007
"272",19777,"Indonesia",2005,10,2005,11,2005
"273",302723,"Forgotten Waters",2020,2,2020,4,2020
"274",181279,"Fury of Dracula (Third/Fourth Edition)",2015,10,2015,10,2015
"275",38453,"Space Alert",2008,9,2008,10,2008
"276",154203,"Imperial Settlers",2014,7,2014,8,2014
"277",187617,"Nemo's War (Second Edition)",2017,11,2015,6,2017
"278",160477,"Onitama",2014,6,2014,3,2016
"279",93260,"Summoner Wars: Master Set",2011,2,2011,10,2011
"280",46213,"Telestrations",2009,11,2009,4,2010
"281",59294,"Runewars",2010,10,2009,1,2010
"282",54138,"Imperial 2030",2009,10,2009,10,2009
"283",48726,"Alien Frontiers",2010,9,2009,10,2010
"284",203420,"Exit: The Game – The Abandoned Cabin",2016,9,2016,10,2016
"285",13122,"Antiquity",2004,10,2004,11,2004
