"","ID","Name","Year","Rank","Average","Bayes.average","Users.rated"
"489",133848,"Euphoria: Build a Better Dystopia",2013,489,7.22,6.934,10184
"490",11,"Bohnanza",1997,490,7.04,6.933,41715
"491",156009,"Port Royal",2014,491,7.13,6.933,15413
"492",142379,"Escape Plan",2019,492,7.56,6.932,4428
"493",875,"Roads & Boats",1999,493,7.72,6.93,3252
"494",260180,"Project L",2020,494,7.55,6.93,4512
"495",9674,"Ingenious",2004,495,7.11,6.929,16392
"496",102652,"Sentinels of the Multiverse",2011,496,7.18,6.929,15530
"497",90419,"Airlines Europe",2011,497,7.3,6.925,7152
"498",147949,"One Night Ultimate Werewolf",2014,498,7.1,6.925,24477
"499",256952,"Zombie Kidz Evolution",2018,499,7.72,6.922,3582
"500",58421,"Egizia",2009,500,7.4,6.921,5315
"501",163968,"Elysium",2015,501,7.21,6.92,9194
"502",133473,"Sushi Go!",2013,502,7.03,6.919,40644
"503",18,"RoboRally",1994,503,7.07,6.917,23239
"504",31730,"Chicago Express",2007,504,7.25,6.916,7879
"505",6249,"Alhambra",2003,505,7.03,6.916,31263
"506",27173,"Vikings",2007,506,7.25,6.916,8204
"507",232043,"Queendomino",2017,507,7.21,6.915,9675
"508",227935,"Wonderland's War",2022,508,8.33,6.915,2082
"509",42052,"Vinhos",2010,509,7.48,6.914,4677
"510",181530,"Runebound (Third Edition)",2015,510,7.48,6.914,5601
"511",175095,"Dawn of the Zeds (Third Edition)",2016,511,8.2,6.913,2147
"512",284742,"Honey Buzz",2020,512,7.74,6.912,3306
"513",128780,"Pax Porfiriana",2012,513,7.68,6.911,3398
"514",97842,"Last Will",2011,514,7.18,6.911,9742
"515",34119,"Tales of the Arabian Nights",2009,515,7.18,6.91,12236
"516",91312,"Discworld: Ankh-Morpork",2011,516,7.24,6.909,9898
"517",183251,"Karuba",2015,517,7.19,6.909,9945
"518",475,"Taj Mahal",2000,518,7.27,6.908,7432
"519",84419,"Space Empires 4X",2011,519,7.71,6.908,3511
"520",151022,"Baseball Highlights: 2045",2015,520,7.53,6.906,4185
"521",192836,"The Colonists",2016,521,7.59,6.906,3889
"522",133038,"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set",2013,522,7.19,6.905,12440
"523",252328,"Star Wars: X-Wing (Second Edition)",2018,523,8.15,6.904,2432
"524",27746,"Colosseum",2007,524,7.21,6.904,8731
"525",22827,"StarCraft: The Board Game",2007,525,7.34,6.903,7292
"526",196326,"Love Letter: Premium Edition",2016,526,7.44,6.902,5133
