"","ID","Name","Year","Rank","Average","Bayes.average","Users.rated"
"527",181530,"Runebound (Third Edition)",2015,527,7.47,6.906,5712
"528",34119,"Tales of the Arabian Nights",2009,528,7.18,6.906,12356
"529",97842,"Last Will",2011,529,7.18,6.905,9874
"530",128780,"Pax Porfiriana",2012,530,7.67,6.904,3470
"531",475,"Taj Mahal",2000,531,7.27,6.902,7507
"532",151022,"Baseball Highlights: 2045",2015,532,7.53,6.902,4280
"533",153938,"Camel Up",2014,533,7.04,6.902,25376
"534",84419,"Space Empires 4X",2011,534,7.7,6.901,3586
"535",196326,"Love Letter: Premium Edition",2016,535,7.44,6.901,5278
"536",183251,"Karuba",2015,536,7.18,6.899,10151
"537",22827,"StarCraft: The Board Game",2007,537,7.35,6.899,7348
"538",192836,"The Colonists",2016,538,7.58,6.898,3972
"539",170561,"Valeria: Card Kingdoms",2016,539,7.46,6.898,5167
"540",133038,"Pathfinder Adventure Card Game: Rise of the Runelords – Base Set",2013,540,7.18,6.898,12487
"541",27746,"Colosseum",2007,541,7.21,6.898,8770
"542",303057,"Pan Am",2020,542,7.57,6.895,4210
"543",245961,"Fleet: The Dice Game",2018,543,7.7,6.894,3202
"544",284435,"Nova Luna",2019,544,7.35,6.892,6080
"545",220,"High Society",1995,545,7.13,6.892,11574
"546",28023,"Jamaica",2007,546,7.07,6.891,18511
"547",141572,"Paperback",2014,547,7.15,6.891,10211
"548",15363,"Nexus Ops",2005,548,7.21,6.89,8715
"549",2346,"DVONN",2001,549,7.45,6.888,4811
"550",117959,"Las Vegas",2012,550,7.15,6.887,10496
"551",159508,"AquaSphere",2014,551,7.26,6.886,7098
"552",265402,"In the Hall of the Mountain King",2019,552,7.68,6.886,3597
"553",258779,"Planet Unknown",2022,553,7.97,6.884,2441
"554",503,"Through the Desert",1998,554,7.08,6.882,13472
"555",172308,"Broom Service",2015,555,7.18,6.88,9483
"556",218603,"Photosynthesis",2017,556,7.04,6.879,20972
"557",248490,"Atlantis Rising (Second Edition)",2019,557,7.65,6.878,3492
"558",4390,"Carcassonne: Hunters and Gatherers",2002,558,7.13,6.878,12323
"559",206480,"Imperial Struggle",2020,559,8.31,6.876,2025
"560",3685,"Hammer of the Scots",2002,560,7.54,6.875,4024
"561",155703,"Evolution",2014,561,7.09,6.875,15523
"562",42215,"Tobago",2009,562,7.11,6.874,11597
"563",39351,"Automobile",2009,563,7.33,6.874,5615
"564",9625,"Struggle of Empires",2004,564,7.52,6.872,4090
"565",160010,"Conan",2016,565,7.67,6.871,4366
"566",239942,"Black Rose Wars",2019,566,8.02,6.87,2778
"567",216734,"Dice Throne: Season One",2018,567,7.56,6.869,5097
"568",39938,"Carson City",2009,568,7.23,6.868,7017
"569",270673,"Silver & Gold",2019,569,7.26,6.865,6604
"570",315767,"Cartographers Heroes",2021,570,7.9,6.865,2527
"571",140603,"Francis Drake",2013,571,7.39,6.863,4951
"572",6472,"A Game of Thrones",2003,572,7.19,6.863,10425
"573",205359,"Star Wars: Destiny",2016,573,7.47,6.862,5174
"574",283393,"Aquatica",2019,574,7.41,6.861,4732
"575",193949,"Star Trek: Ascendancy",2016,575,7.83,6.86,3132
"576",212445,"Blood Bowl (2016 Edition)",2016,576,8,6.86,2554
"577",264055,"Draftosaurus",2019,577,7.13,6.86,10584
"578",183562,"Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set",2015,578,7.76,6.859,3038
"579",42776,"Gears of War: The Board Game",2011,579,7.47,6.859,4950
"580",322708,"Descent: Legends of the Dark",2021,580,7.97,6.859,3234
"581",130960,"Triumph & Tragedy: European Balance of Power 1936-1945",2015,581,8.15,6.857,2095
"582",269511,"Cooper Island",2019,582,7.62,6.857,3405
"583",169255,"A Game of Thrones: The Card Game (Second Edition)",2015,583,7.52,6.856,4668
"584",131357,"Coup",2012,584,6.99,6.856,42015
"585",143519,"Quantum",2013,585,7.25,6.853,7200
"586",113924,"Zombicide",2012,586,7.12,6.853,18023
"587",135219,"The Battle of Five Armies",2014,587,7.88,6.851,2662
"588",30869,"Thebes",2007,588,7.13,6.85,9594
"589",266121,"Unlock!: Heroic Adventures",2018,590,7.67,6.846,3040
"590",174785,"Mare Nostrum: Empires",2016,591,7.54,6.844,3908
"591",257501,"KeyForge: Call of the Archons",2018,592,7.16,6.842,10795
"592",290359,"Undaunted: North Africa",2020,593,7.87,6.841,2645
"593",224710,"Zombicide: Green Horde",2018,594,7.73,6.839,3743
"594",119432,"Snowdonia",2012,595,7.35,6.837,4865
"595",37904,"Formula D",2008,596,7.01,6.835,18660
"596",198953,"Pax Renaissance",2016,597,8.02,6.835,2220
"597",10547,"Betrayal at House on the Hill",2004,598,7.04,6.833,42709
"598",1353,"Time's Up!",1999,599,7.29,6.833,5540
"599",336986,"Flamecraft",2022,600,7.62,6.832,4009
"600",111799,"Cuba Libre",2013,601,7.69,6.832,2952
"601",5782,"Coloretto",2003,602,6.98,6.832,19830
"602",1513,"The Republic of Rome",1990,603,7.53,6.831,4097
"603",170624,"Crusaders: Thy Will Be Done",2018,604,7.5,6.831,3726
"604",24508,"Taluva",2006,605,7.15,6.831,8370
"605",46,"Medici",1995,606,7.16,6.829,7795
