"","rank","id","name","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"908",908,270314,"Ohanami",2792,2105,687,108,343,2449,7.33447759312321,7.52088980522565,6.7633018922853,6.26183129629629,7.2687609329446,7.34368168231931,42
"909",909,306881,"Railroad Ink Challenge: Lush Green Edition",1737,1413,324,62,189,1548,7.76235769717904,7.94340079263977,6.97280864197531,6.71096774193548,7.74185185185185,7.76486131782946,16
"910",910,272739,"Clinic: Deluxe Edition",1928,1236,692,220,247,1681,7.68402172717842,8.121007394822,6.90350975433526,6.73147159090909,7.54388663967611,7.70461266508031,32
"911",911,296237,"Warp's Edge",1718,1405,313,186,266,1452,7.80576502910361,7.98829963701068,6.98640041533546,6.83198924731183,7.83421428571429,7.8005532506887,23
"912",912,253499,"A War of Whispers",2703,1490,1213,209,377,2326,7.39453288198298,7.89908638255034,6.77475982687552,6.40682775119617,7.21704774535809,7.4232998194325,32
"913",913,182340,"Star Trek: Frontiers",1728,1211,517,230,313,1415,7.84693865740741,8.18287365813377,7.0600580270793,7.11891304347826,7.89242811501597,7.83687632508834,73
"914",914,195314,"Herbaceous",4684,3288,1396,447,794,3890,7.0727775469684,7.32234743309002,6.48496537965616,6.39637360178971,7.06729764483627,7.07389606683805,67
"915",915,180680,"Automobiles",3170,1269,1901,335,573,2597,7.23595397476341,7.77437115839243,6.87653713834824,6.96348955223881,7.19712041884817,7.24452217943781,79
"916",916,224,"History of the World",4486,2666,1820,397,1308,3178,7.11447188140883,7.52557989497374,6.5122664065934,6.46304785894207,7.07812308868501,7.12943230333543,254
"917",917,346703,"7 Wonders: Architects",4888,2206,2682,124,654,4234,7.05692345540098,7.78898009066183,6.45479186055183,6.32016129032258,6.42608766055046,7.15436478979688,11
"918",918,262941,"Dominant Species: Marine",1338,798,540,66,216,1122,8.09942201793722,8.56392647869674,7.41298764814815,6.49287878787879,7.88949074074074,8.13983659536542,18
"919",919,158275,"Marvel Dice Masters: Uncanny X-Men",3793,2803,990,501,446,3347,7.17317675454785,7.40817984302533,6.50780942424243,6.57885894211577,6.98487668161435,7.19826842844338,94
"920",920,200077,"Mint Works",5918,4145,1773,535,958,4960,6.97653081953363,7.25434484680338,6.3270445572476,6.14943925233645,6.97589248434238,6.97665411088709,66
"921",921,72287,"Mr. Jack Pocket",8239,5467,2772,1044,1255,6984,6.86405366792086,7.11551829156759,6.36810954906205,6.25218869731801,6.90012749003984,6.85757133018327,143
"922",922,148729,"Maquis",2470,1923,547,208,507,1963,7.44554480566802,7.6963298699948,6.56390005484461,6.61973557692308,7.29398684418146,7.48468891492613,34
"923",923,174570,"Legendary Encounters: A Predator Deck Building Game",2600,1696,904,303,332,2268,7.42834701538461,7.77312349056604,6.78150973451327,6.95534653465347,7.2898343373494,7.44862312169312,84
"924",924,939,"Star Wars: The Queen's Gambit",2184,1223,961,224,671,1513,7.5479679945055,7.95686017988553,7.02759843912591,7.21875,7.655260804769,7.50038473231989,252
"925",925,15817,"Manila",5815,2613,3202,647,1224,4591,6.9827736216681,7.50464976272484,6.55689530918176,6.57169319938176,7.02156209150327,6.97243228272707,208
"926",926,356033,"Libertalia: Winds of Galecrest",2130,1384,746,49,258,1872,7.58652193896714,7.97934373554913,6.85774798927614,6.20408163265306,7.1363992248062,7.64855808226496,6
"927",927,131646,"Merchant of Venus (Second Edition)",3746,2208,1538,558,723,3023,7.15287355579284,7.66413240036232,6.41889466840052,6.38277777777778,7.02268326417704,7.18401069798214,117
"928",928,228504,"Cat Lady",4888,3122,1766,312,727,4161,7.06006331219313,7.334005128123,6.57577885617214,6.65310897435897,7.05489958734525,7.06096550588801,60
"929",929,284818,"Caylus 1303",2235,1212,1023,252,277,1958,7.50997420134228,7.99132563531353,6.9396927370479,6.82287698412699,7.29054151624549,7.54101753830439,32
"930",930,230080,"Majesty: For the Realm",5868,2911,2957,658,689,5179,6.96007571574642,7.3682141188595,6.55828643895841,6.60064285714286,6.8646328011611,6.97277318015061,58
"931",931,207691,"Railroad Revolution",2667,1366,1301,313,390,2277,7.34577241469816,7.82363472181552,6.84403535741737,6.78063897763578,7.02625641025641,7.400498476065,70
"932",932,69779,"Polis: Fight for the Hegemony",2281,1150,1131,386,532,1749,7.52934787373959,8.23544217391304,6.811391688771,6.81937823834197,7.59252255639097,7.51013178959405,120
"933",933,231218,"Black Sonata",2349,1889,460,259,417,1932,7.49880407407407,7.71887106405505,6.59509419565218,6.48949806949807,7.44604316546763,7.51019190993789,42
"934",934,218509,"Empires of the Void II",2255,1323,932,304,372,1883,7.50172104656319,8.00919573696146,6.78134656652361,6.58105263157895,7.38803465053763,7.52418060010621,55
"935",935,150999,"Valley of the Kings",4586,2641,1945,682,783,3803,7.03075071522024,7.38046236652783,6.55589803084833,6.64280303519062,7.08760524904215,7.01904493031817,98
"936",936,227515,"Riverboat",2347,1288,1059,249,310,2037,7.4511799786962,7.86765482142857,6.94464589235127,6.98666666666667,7.39255483870968,7.46010182130585,58
"937",937,178336,"World's Fair 1893",3629,1993,1636,481,588,3041,7.16891604574263,7.58686368790768,6.65976589242054,6.74675675675676,7.16318197278912,7.17002477145676,76
"938",938,161866,"Zombicide Season 3: Rue Morgue",2623,1894,729,281,223,2400,7.52470903164316,7.854214250264,6.66862825788752,6.95163701067616,7.42760838565022,7.5337313,91
"939",939,165838,"Space Hulk (Fourth Edition)",1711,1262,449,145,263,1448,7.94185817066043,8.27714685419968,6.99946547884187,6.9851724137931,8.20684410646388,7.89372881906077,95
"940",940,157403,"Black Fleet",5260,2925,2335,726,900,4360,7.00434978707225,7.43753668376068,6.46170667237687,6.50945603305785,6.97015564444444,7.01140821100918,96
"941",941,204027,"Cottage Garden",7855,4328,3527,1158,1095,6760,6.87489419096117,7.25000628465804,6.41459219449957,6.39774611398964,6.82895890410959,6.88233489201183,70
"942",942,75449,"Firenze",3045,1410,1635,424,551,2494,7.24800029228243,7.73599212056738,6.82716330275229,6.91553301886792,7.20112885662432,7.25835560946271,110
"943",943,1382,"Winner's Circle",5350,2783,2567,601,1555,3795,6.9863210317757,7.40508066834352,6.53232490066225,6.52607292845258,7.0287945659164,6.96891751515151,244
"944",944,168917,"Smash Up: Pretty Pretty Smash Up",3419,2706,713,333,265,3154,7.24169484644633,7.44107354397635,6.48500654978962,6.37842042042042,7.11137735849057,7.25264415979709,89
"945",945,66056,"Rivals for Catan",6747,4831,1916,964,909,5838,6.95417475322366,7.25341619333471,6.19966776096033,6.04374491701245,6.91939273927393,6.95959045220966,141
"946",946,239472,"Abomination: The Heir of Frankenstein",2390,1537,853,183,364,2026,7.49110582008368,7.94432513988289,6.67446092614302,6.57021857923497,7.43557692307692,7.5010823840079,36
"947",947,336794,"Galaxy Trucker",1963,1475,488,90,191,1772,7.64153003056546,7.85411827118644,6.99897336065574,6.595,7.79005235602094,7.62552113431151,11
"948",948,127518,"A Distant Plain",1650,1059,591,188,341,1309,7.84414646666667,8.29687598677999,7.032910321489,7.12856382978723,7.7491202346041,7.86890119938885,107
"949",949,233262,"Tidal Blades: Heroes of the Reef",2133,1353,780,184,314,1819,7.63712720581341,8.07295072431634,6.88114102564103,6.57146739130435,7.45722929936306,7.6681815997801,22
"950",950,185589,"Islebound",3413,1906,1507,513,522,2891,7.17821088485204,7.59500144281217,6.65106901128069,6.72777582846004,7.09852170498084,7.19259959183674,73
"951",951,277700,"Merchants Cove",2061,1286,775,152,294,1767,7.63169912178554,8.15342681959564,6.76596774193548,6.71447368421053,7.61081632653061,7.63517367855122,16
"952",952,156776,"Warhammer 40,000: Conquest",3053,1984,1069,412,455,2598,7.36209695381592,7.7557560483871,6.63148924228251,6.71381067961165,7.52476923076923,7.33360739030023,96
"953",953,244654,"Wildlands",3025,1634,1391,379,457,2568,7.29408850578512,7.88459622399021,6.60042235801581,6.68472295514512,7.20674083150985,7.30963285436137,46
"954",954,200954,"Fields of Green",3573,1978,1595,558,550,3023,7.15111427371956,7.59404381193124,6.60182610658307,6.6008111827957,7.11978545454546,7.15681419120079,70
"955",955,253284,"Ticket to Ride: New York",5839,3921,1918,485,777,5062,6.96501956499401,7.17284118592196,6.54016629301356,6.5559381443299,6.82803046332046,6.98604693204267,50
"956",956,164949,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",1975,1108,867,153,385,1590,7.62316615696203,8.13450646209386,6.96968858131488,6.83111111111111,7.46812987012987,7.66070638993711,62
"957",957,104710,"Wiz-War (Eighth Edition)",4838,2541,2297,643,820,4018,7.05005199875982,7.58253097992916,6.46101016543317,6.62580544323484,7.13226829268293,7.03327316326531,126
